Week,DFI_Arrival Date,Name,Type 1 Attendances,Total attendances,Attendances,Breaches,Within,4 Hour Performance
05/01/2014,05/01/2014,Ipswich Hospital NHS Trust,1426,1426,1426,35,1391,0.97545582047686
05/01/2014,05/01/2014,Mid Essex Hospital Services NHS Trust,1466,1497,1497,51,1446,0.96593186372745
05/01/2014,05/01/2014,The Princess Alexandra Hospital NHS Trust,1897,1897,1897,267,1630,0.85925144965735
05/01/2014,05/01/2014,East And North Hertfordshire NHS Trust,2173,2173,2173,133,2040,0.93879429360331
12/01/2014,12/01/2014,Cambridge University Hospitals NHS Foundation Trust,1833,1833,1833,136,1697,0.92580469176214
12/01/2014,12/01/2014,Ipswich Hospital NHS Trust,1322,1322,1322,16,1306,0.98789712556732
12/01/2014,12/01/2014,Mid Essex Hospital Services NHS Trust,1404,1435,1435,36,1399,0.97491289198606
12/01/2014,12/01/2014,The Princess Alexandra Hospital NHS Trust,1896,1896,1896,206,1690,0.89135021097046
12/01/2014,12/01/2014,East And North Hertfordshire NHS Trust,2294,2294,2294,134,2160,0.94158674803836
19/01/2014,19/01/2014,Cambridge University Hospitals NHS Foundation Trust,1862,1862,1862,64,1798,0.9656283566058
19/01/2014,19/01/2014,Ipswich Hospital NHS Trust,1406,1406,1406,21,1385,0.9850640113798
19/01/2014,19/01/2014,Mid Essex Hospital Services NHS Trust,1435,1476,1476,88,1388,0.94037940379404
19/01/2014,19/01/2014,The Princess Alexandra Hospital NHS Trust,1864,1864,1864,84,1780,0.9549356223176
19/01/2014,19/01/2014,East And North Hertfordshire NHS Trust,2335,2335,2335,124,2211,0.94689507494647
26/01/2014,26/01/2014,Cambridge University Hospitals NHS Foundation Trust,1927,1927,1927,50,1877,0.97405293201868
